airline_name,airline_code,airport_name,city,country,iata_code,flight_number,origin_city,destination_city,departure,arrival,base_price,total_seats,available_seats,duration_mins
FastAir,FA,Pune International,Pune,India,PUN,FA100,Pune,New Delhi,2024-07-25 06:45:00,2024-07-25 08:30:00,2903,190,134,105
AeroExpress,AE,Netaji Subhash Chandra Bose International,Kolkata,India,CCU,AE101,Kolkata,Pune,2024-05-14 10:15:00,2024-05-14 13:15:00,3302,180,148,180
TransIndia,TI,Cochin International,Kochi,India,COK,TI102,Kochi,Chennai,2024-07-11 06:00:00,2024-07-11 07:45:00,2101,170,170,105
AeroExpress,AE,Cochin International,Kochi,India,COK,AE103,Kochi,Chennai,2024-12-13 05:30:00,2024-12-13 07:45:00,6116,150,91,135
SkyWays,SW,Pune International,Pune,India,PUN,SW104,Pune,Hyderabad,2024-10-02 10:30:00,2024-10-02 12:30:00,2464,190,133,120
TransIndia,TI,Chennai International,Chennai,India,MAA,TI105,Chennai,New Delhi,2024-09-26 11:45:00,2024-09-26 14:30:00,4798,150,119,165
AeroExpress,AE,Chennai International,Chennai,India,MAA,AE106,Chennai,Mumbai,2024-11-21 16:15:00,2024-11-21 19:15:00,2427,150,135,180
FastAir,FA,Indira Gandhi International,New Delhi,India,DEL,FA107,New Delhi,Pune,2024-01-23 12:15:00,2024-01-23 14:15:00,4709,180,180,120
CloudJet,CJ,Goa International,Goa,India,GOI,CJ108,Goa,Bangalore,2024-01-05 07:30:00,2024-01-05 09:00:00,5021,190,189,90
AeroExpress,AE,Goa International,Goa,India,GOI,AE109,Goa,Mumbai,2024-05-01 12:00:00,2024-05-01 13:00:00,6900,160,150,60
FastAir,FA,Indira Gandhi International,New Delhi,India,DEL,FA110,New Delhi,Ahmedabad,2024-11-26 09:15:00,2024-11-26 11:30:00,3414,200,200,135
SkyWays,SW,Netaji Subhash Chandra Bose International,Kolkata,India,CCU,SW111,Kolkata,Bangalore,2024-03-09 18:45:00,2024-03-09 20:45:00,4621,180,179,120
TransIndia,TI,Netaji Subhash Chandra Bose International,Kolkata,India,CCU,TI112,Kolkata,Kochi,2024-02-24 09:00:00,2024-02-24 12:00:00,6810,170,161,180
CloudJet,CJ,Goa International,Goa,India,GOI,CJ113,Goa,Mumbai,2024-08-18 15:00:00,2024-08-18 17:00:00,5439,190,164,120
CloudJet,CJ,Pune International,Pune,India,PUN,CJ114,Pune,Goa,2024-10-26 11:45:00,2024-10-26 13:00:00,2613,180,174,75
AeroExpress,AE,Rajiv Gandhi International,Hyderabad,India,HYD,AE115,Hyderabad,Kochi,2024-05-25 18:45:00,2024-05-25 20:30:00,6907,200,149,105
CloudJet,CJ,Chennai International,Chennai,India,MAA,CJ116,Chennai,Mumbai,2024-02-10 19:15:00,2024-02-10 21:45:00,4964,150,90,150
TransIndia,TI,Netaji Subhash Chandra Bose International,Kolkata,India,CCU,TI117,Kolkata,Goa,2024-10-17 12:30:00,2024-10-17 14:00:00,3130,190,138,90
FastAir,FA,Kempegowda International,Bangalore,India,BLR,FA118,Bangalore,Hyderabad,2024-01-07 16:00:00,2024-01-07 17:30:00,6736,190,131,90
TransIndia,TI,Kempegowda International,Bangalore,India,BLR,TI119,Bangalore,New Delhi,2024-03-05 13:00:00,2024-03-05 14:00:00,3568,160,131,60
SkyWays,SW,Netaji Subhash Chandra Bose International,Kolkata,India,CCU,SW120,Kolkata,Hyderabad,2024-10-20 10:15:00,2024-10-20 12:45:00,4570,170,146,150
SkyWays,SW,Goa International,Goa,India,GOI,SW121,Goa,Pune,2024-12-21 10:15:00,2024-12-21 12:45:00,5529,170,118,150
FastAir,FA,Cochin International,Kochi,India,COK,FA122,Kochi,Pune,2024-08-19 05:15:00,2024-08-19 08:15:00,3870,160,151,180
CloudJet,CJ,Indira Gandhi International,New Delhi,India,DEL,CJ123,New Delhi,Goa,2024-12-31 14:45:00,2024-12-31 16:00:00,2382,190,155,75
FastAir,FA,Netaji Subhash Chandra Bose International,Kolkata,India,CCU,FA124,Kolkata,Kochi,2024-11-10 07:15:00,2024-11-10 09:30:00,2093,150,124,135
SkyWays,SW,Pune International,Pune,India,PUN,SW125,Pune,Mumbai,2024-12-09 10:45:00,2024-12-09 11:45:00,6935,200,161,60
FastAir,FA,Rajiv Gandhi International,Hyderabad,India,HYD,FA126,Hyderabad,Mumbai,2024-12-12 10:00:00,2024-12-12 11:30:00,2104,170,169,90
SkyWays,SW,Netaji Subhash Chandra Bose International,Kolkata,India,CCU,SW127,Kolkata,Kochi,2024-11-15 17:30:00,2024-11-15 18:45:00,4134,170,122,75
AeroExpress,AE,Cochin International,Kochi,India,COK,AE128,Kochi,Hyderabad,2024-06-25 08:15:00,2024-06-25 11:15:00,4145,170,170,180
FastAir,FA,Goa International,Goa,India,GOI,FA129,Goa,Ahmedabad,2024-12-20 05:45:00,2024-12-20 06:45:00,4962,180,160,60
SkyWays,SW,Chhatrapati Shivaji International,Mumbai,India,BOM,SW130,Mumbai,Goa,2024-05-21 05:00:00,2024-05-21 07:00:00,4244,160,151,120
